GET http://crypto.test/ name=http://crypto.test/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=867 notes=8 sig=0x8414efa6
GET http://crypto.test/01/ name=01 type=dir linked=no browsers=7 browser_used=FAST dup=0 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/01/ name=01 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/01/ name=01 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/01/ name=01 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/09/ name=09 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/09/ name=09 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/09/ name=09 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/09/ name=09 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/10/ name=10 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/10/ name=10 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/10/ name=10 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://crypto.test/10/ name=10 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
